country,name,state-province,alpha_two_code,web_pages,domains
Australia,Engineering Institute of Technology,,AU,['https://www.eit.edu.au/'],['student.eit.edu.au']
Indonesia,Universitas Nusa Putra,,ID,['https://nusaputra.ac.id'],['nusaputra.ac.id']
Turkey,University of Kyrenia,,TR,['https://kyrenia.edu.tr'],"['std.kyrenia.edu.tr', 'kyrenia.edu.tr']"
Ghana,Regent University College of Science and Technology,,GH,['https://regent.edu.gh'],['regent.edu.gh']
Poland,Wroclaw Akademia Biznesu,,PL,['https://wab.edu.pl'],"['student.wab.edu.pl', 'wab.edu.pl']"
India,Atharva College of Engineering,Mumbai,IN,['https://atharvacoe.ac.in'],['atharvacoe.ac.in']
Canada,Toronto Baptist Seminary and Bible College,Ontario,CA,['https://tbs.edu'],['tbs.edu']
Brazil,Universidade Comunitária da Região de Chapecó - Unochapecó,,BR,['https://unochapeco.edu.br'],['unochapeco.edu.br']
United Kingdom,West Herts College,,GB,['https://westherts.ac.uk'],"['student.westherts.ac.uk', 'westherts.ac.uk']"
India,Bhagwan Parshuram Institute of Technology,Delhi,IN,['http://bpitindia.ac.in'],"['bpitindia.edu.in', 'bpitindia.in']"
France,National Institute of Applied Sciences of Toulouse,,FR,['https://insa-toulouse.fr'],['insa-toulouse.fr']
Uganda,Bugema University,Luweero,UG,['https://bugemauniv.ac.ug/'],['bugemauniv.ac.ug']
United Arab Emirates,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Abu Dhabi,AE,['https://mbzuai.ac.ae/'],['mbzuai.ac.ae']
Brazil,"Centro Universitário de Brasília, UNICEUB",,BR,['https://www.uniceub.br'],"['sempreceub.com', 'uniceub.br']"
Ukraine,Kharkiv National University,,UA,"['https://karazin.ua', 'http://www.univer.kharkov.ua/']","['student.karazin.ua', 'karazin.ua', 'univer.kharkov.ua']"
Chile,Universidad Técnica Federico Santa María,,CL,['https://usm.cl'],['usm.cl']
France,IÉSEG School of Management,,FR,['https://ieseg.fr'],['ieseg.fr']
China,Sun Yat-Sen University,,CN,['https://sysu.edu.cn'],"['mail2.sysu.edu.cn', 'mail.sysu.edu.cn']"
United Kingdom,Royal Holloway University of London,,GB,['https://rhul.ac.uk'],['rhul.ac.uk']
China,Hunan University,,CN,"['https://www.hnu.edu.cn', 'http://www-en.hnu.edu.cn']","['hnu.edu.cn', 'www-en.hnu.edu.cn']"
United Kingdom,University of Portsmouth,,GB,"['http://www.port.ac.uk/', 'https://myport.port.ac.uk']","['port.ac.uk', 'myport.ac.uk', 'myport.port.ac.uk']"
France,Académie de Paris,,FR,['https://www.ac-paris.fr/'],['ac-paris.fr']
France,Académie d'Aix-Marseille,,FR,['https://www.ac-aix-marseille.fr/'],['ac-aix-marseille.fr']
France,Académie de Créteil,,FR,['https://www.ac-creteil.fr/'],['ac-creteil.fr']
United States,Marywood University,,US,['http://www.marywood.edu'],['marywood.edu']
India,University of Petroleum and Energy Studies,Dehradun,IN,['https://www.upes.ac.in/'],['upes.ac.in']
India,Ashoka University,Haryana,IN,['https://www.ashoka.edu.in'],['ashoka.edu.in']
India,Indian Institute of Information Technology Sri City,Chittoor,IN,['https://www.iiits.ac.in/'],['iiits.in']
Canada,Cégep de Saint-Jérôme,Quebec,CA,"['https://www.cstj.qc.ca', 'https://ccmt.cstj.qc.ca', 'https://ccml.cstj.qc.ca']",['cstj.qc.ca']
United States,Lindenwood University,,US,['http://www.lindenwood.edu/'],['lindenwood.edu']
India,DAV Institute of Engineering & Technology,Punjab,IN,['http://www.davietjal.org/'],['davietjal.org']
India,Lovely Professional University,Punjab,IN,['http://www.lpu.in/'],['lpu.in']
United States,Sullivan University,,US,['https://sullivan.edu/'],['sullivan.edu']
United States,Florida State College at Jacksonville,,US,['https://www.fscj.edu/'],['fscj.edu']
United States,Xavier University,,US,['https://www.xavier.edu/'],['xavier.edu']
United States,Tusculum College,,US,['https://home.tusculum.edu/'],['tusculum.edu']
United States,Claremont School of Theology,,US,['https://cst.edu/'],['cst.edu']
India,Somaiya Vidyavihar,,IN,['https://somaiya.edu/'],['somaiya.edu']
United States,Columbia College (SC),,US,['https://www.columbiasc.edu/'],['columbiasc.edu']
United States,Chabot-Las Positas Community College District,,US,['http://www.clpccd.edu/'],['clpccd.edu']
United States,Keller Graduate School of Management,,US,['https://www.keller.edu/'],['keller.edu']
United States,Monroe College,,US,['https://monroecollege.edu/'],['monroecollege.edu']
United States,San Mateo County Community College District,,US,['https://smccd.edu/'],['smccd.edu']
United States,Los Rios Community College District,,US,['http://losrios.edu/'],['losrios.edu']
United States,DigiPen Institute of Technology,,US,['https://www.digipen.edu/'],['digipen.edu']
United States,University of Pittsburgh Medical Center,Pennsylvania,US,['https://www.upmc.com/'],"['upmc.edu', 'upmc.com']"
United States,Claremont Graduate University,,US,['https://www.cgu.edu/'],['cgu.edu']
United States,The University of Texas at Rio Grande Valley,Texas,US,['https://www.utrgv.edu/'],['utrgv.edu']
United States,College of Mount Saint Vincent,,US,['https://mountsaintvincent.edu/'],['mountsaintvincent.edu']
United States,University of Arkansas System eVersity,,US,['https://www.uasys.edu/'],['uasys.edu']
United States,ECPI University,,US,['https://www.ecpi.edu/'],['ecpi.edu']
United States,University of Mary Washington,,US,['https://www.umw.edu/'],['umw.edu']
United States,Baldwin Wallace University,,US,['https://www.bw.edu/'],['bw.edu']
United States,California State University Channel Islands,,US,['https://www.csuci.edu/'],['csuci.edu']
United States,Brandman University,,US,['https://www.brandman.edu/'],['brandman.edu']
United States,United States Coast Guard Academy,,US,['http://www.uscga.edu/'],['uscga.edu']
United States,Athens State University,,US,['http://www.athens.edu/'],['athens.edu']
United States,The Scripps Research Institute,,US,['https://scripps.edu/'],['scripps.edu']
United States,Eastern Florida State College,,US,['http://www.easternflorida.edu/'],['easternflorida.edu']
United States,Western New England University,,US,['http://www1.wne.edu/'],['wne.edu']
United States,King University,,US,['https://king.edu/'],['king.edu']
United States,Georgia Gwinnett College,,US,['https://ggc.edu/'],['ggc.edu']
United States,Trident University,,US,['https://www.trident.edu/'],['trident.edu']
United States,Alliant International University,,US,['https://www.alliant.edu/'],['alliant.edu']
United States,Mississippi Valley State University,,US,['https://mvsu.edu/'],['mvsu.edu']
United States,Roosevelt University,,US,['https://www.roosevelt.edu/'],['roosevelt.edu']
United States,ITT Technical Institute,,US,['http://itt-tech.info/'],"['itt-tech.info', 'itt-tech.edu']"
United States,Illinois Eastern Community Colleges,,US,['https://iecc.edu/'],['iecc.edu']
United States,Park University,,US,['https://park.edu/'],['park.edu']
United States,Icahn School of Medicine at Mount Sinai,,US,['http://icahn.mssm.edu/'],['mssm.edu']
United States,Utah Valley University,Utah,US,['https://uvu.edu/'],['uvu.edu']
United States,Wisconsin Lutheran College,,US,['http://www.wlc.edu/'],['wlc.edu']
United States,Riverside Community College District,,US,['http://www.rccd.edu/'],['rccd.edu']
United States,Wake Forest Baptist Health,,US,['http://www.wakehealth.edu/'],['wakehealth.edu']
United States,University of Massachusetts Boston,,US,['https://www.umb.edu/'],['umb.edu']
United States,Florida Polytechnic University,Florida,US,['https://floridapoly.edu/'],['floridapoly.edu']
United States,Wagner College,,US,['https://wagner.edu/'],['wagner.edu']
United States,Wilmington University,,US,['https://www.wilmu.edu/'],['wilmu.edu']
United States,International Technological University,,US,['https://itu.edu/'],['itu.edu']
United States,Young Harris College,,US,['https://www.yhc.edu/'],['yhc.edu']
United States,University of Findlay,,US,['https://www.findlay.edu/'],['findlay.edu']
United States,Philadelphia College of Osteopathic Medicine,,US,['https://www.pcom.edu/'],['pcom.edu']
United States,Yosemite Community College District,,US,['https://www.yosemite.edu/'],['yosemite.edu']
United States,Coastal Alabama Community College,,US,['http://www.coastalalabama.edu/'],['coastalalabama.edu']
United States,Purdue University Northwest,,US,['https://www.pnw.edu/'],['pnw.edu']
United States,Columbia Basin College,,US,['http://www.columbiabasin.edu/'],['columbiabasin.edu']
United States,Seattle Colleges,,US,['https://www.seattlecolleges.edu/'],['seattlecolleges.edu']
United States,Lipscomb University,,US,['https://www.lipscomb.edu/'],['lipscomb.edu']
United States,Tiffin University,,US,['http://www.tiffin.edu/'],['tiffin.edu']
India,NorthCap University,Haryana,IN,['http://www.ncuindia.edu/'],['ncuindia.edu']
United States,Troy University,,US,['https://troy.edu/'],['troy.edu']
United States,42 US,,US,['http://www.42.us.org/'],['student.42.us.org']
United States,California Baptist University,,US,['http://www.calbaptist.edu/'],['calbaptist.edu']
United States,Stevenson University,,US,['http://www.stevenson.edu/'],['stevenson.edu']
United States,Marine Biological Laboratory,,US,['http://www.mbl.edu/'],['mbl.edu']
United States,Maryville University,,US,['http://www.maryville.edu/'],['maryville.edu']
United States,The Art Institutes,,US,['http://www.aii.edu/'],['aii.edu']
United States,University of Mississippi Medical Center,,US,['http://www.umc.edu/'],['umc.edu']
United States,University of Central Oklahoma,,US,['http://www.uco.edu/'],['uco.edu']
United States,Hallmark University,,US,['http://www.hallmarkuniversity.edu/'],['hallmarkuniversity.edu']
United States,Keiser University,,US,['http://www.keiseruniversity.edu/'],['keiseruniversity.edu']
United States,St. Johns River State College,,US,['http://www.sjrstate.edu/'],['sjrstate.edu']
United States,Indian River State College,,US,['http://www.irsc.edu/'],['irsc.edu']
United States,Barnard College,,US,['http://www.barnard.edu/'],['barnard.edu']
United States,California Southern University,,US,['http://www.calsouthern.edu/'],['calsouthern.edu']
United States,University of La Verne,,US,['http://www.laverne.edu/'],['laverne.edu']
United States,Washington & Jefferson College,,US,['http://www.washjeff.edu/'],['washjeff.edu']
United States,University of the People,,US,['http://www.uopeople.edu/'],['uopeople.edu']
United States,Touro College,,US,['http://www.touro.edu/'],['touro.edu']
United States,New Jersey City University,,US,['http://www.njcu.edu/'],['njcu.edu']
United States,Lander University,,US,['http://www.lander.edu/'],['lander.edu']
United States,SUNY Maritime College,,US,['http://www.sunymaritime.edu/'],['sunymaritime.edu']
United States,Lesley University,,US,['http://www.lesley.edu/'],['lesley.edu']
United States,Laurus College,,US,['http://www.lauruscollege.edu/'],['lauruscollege.edu']
United States,National Park College,,US,['http://www.np.edu/'],['np.edu']
United States,Oklahoma Christian University,,US,['http://www.oc.edu/'],['oc.edu']
United States,San Diego Christian College,,US,['http://www.sdcc.edu/'],['sdcc.edu']
United States,SANS Technology Institute,,US,['http://www.sans.edu/'],['sans.edu']
United States,Pasco-Hernando State College,,US,['http://www.phsc.edu/'],['phsc.edu']
United States,New College of Florida,,US,['http://www.ncf.edu/'],['ncf.edu']
United States,Grand Canyon University,,US,['http://www.gcu.edu/'],['gcu.edu']
United States,Cold Spring Harbor Laboratory,,US,['http://www.cshl.edu/'],['cshl.edu']
United States,Albany State University,,US,['http://www.asurams.edu/'],['asurams.edu']
United States,Lasell College,,US,['http://www.lasell.edu/'],['lasell.edu']
United States,Contra Costa Community College District,,US,['http://www.4cd.edu/'],['4cd.edu']
United States,Mount St. Mary's University,,US,['http://www.msmary.edu/'],['msmary.edu']
United States,Robert Morris University Illinois,,US,['http://www.robertmorris.edu/'],['robertmorris.edu']
United States,Northwest Florida State College,,US,['http://www.nwfsc.edu/'],['nwfsc.edu']
United States,West Virginia Wesleyan College,,US,['http://www.wvwc.edu/'],['wvwc.edu']
United States,Utica College,,US,['http://www.utica.edu/'],['utica.edu']
United States,Career College of Northern Nevada,,US,['http://www.ccnn.edu/'],['ccnn.edu']
United States,College of Southern Nevada,NV,US,['https://www.csn.edu/'],['csn.edu']
United States,University of North Georgia,,US,['http://www.ung.edu/'],['ung.edu']
United States,The Principia,,US,['http://www.principia.edu/'],['principia.edu']
United States,Lynn University,,US,['http://www.lynn.edu/'],['lynn.edu']
United States,Colorado Community College System,,US,['http://www.cccs.edu/'],['cccs.edu']
United States,Valencia College,,US,['http://www.valenciacollege.edu/'],['valenciacollege.edu']
United States,St. Petersburg College,,US,['http://www.spcollege.edu/'],['spcollege.edu']
United States,Globe University & Minnesota School of Business,,US,['http://www.msbcollege.edu/'],['msbcollege.edu']
United States,Everest College,,US,['http://www.everest.edu/'],['everest.edu']
United States,Southwest Research Institute,,US,['http://www.swri.edu/'],['swri.edu']
United States,American Public University System,,US,['http://www.apus.edu/'],['apus.edu']
United States,Full Sail University,,US,['http://www.fullsail.edu/'],['fullsail.edu']
United States,YTI Career Institute,,US,['http://www.yti.edu/'],['yti.edu']
United States,Defense Language Institute Foreign Language Center,,US,['http://www.dliflc.edu/'],['dliflc.edu']
United States,Columbus State University,,US,['http://www.columbusstate.edu/'],['columbusstate.edu']
United States,Morehead State University,,US,['http://www.moreheadstate.edu/'],['moreheadstate.edu']
United States,Colorado State University - Global Campus,,US,['http://www.csuglobal.edu/'],['csuglobal.edu']
United States,North Dakota University System,,US,['http://www.ndus.edu/'],['ndus.edu']
United States,University of Houston-Downtown,,US,['http://www.uhd.edu/'],['uhd.edu']
United States,Stratford University,,US,['http://www.stratford.edu/'],['stratford.edu']
United States,"California Polytechnic State University, Pomona",,US,['http://www.cpp.edu/'],['cpp.edu']
United States,Baker College,,US,['http://www.baker.edu/'],['baker.edu']
United States,The College of New Jersey,,US,['http://www.tcnj.edu/'],['tcnj.edu']
United States,Abilene Christian University,,US,['http://www.acu.edu/'],['acu.edu']
United States,Adelphi University,,US,['http://www.adelphi.edu/'],['adelphi.edu']
United States,Agnes Scott College,,US,['http://www.agnesscott.edu/'],['agnesscott.edu']
United States,Aiken Technical College,,US,['http://www.atc.edu/'],['atc.edu']
United States,Air Force Institute of Technology,,US,['http://www.afit.edu/'],['afit.edu']
United States,Alabama A&M University,,US,['http://www.aamu.edu/'],['aamu.edu']
United States,Alabama State University,,US,['http://www.alasu.edu/'],['alasu.edu']
United States,Alamo Colleges,,US,['http://www.alamo.edu/'],['aloma.edu']
United States,Albertson College of Idaho,,US,['http://www.acofi.edu/'],['acofi.edu']
United States,Albion College,,US,['http://www.albion.edu/'],['albion.edu']
United States,Alfred University,,US,['http://www.alfred.edu/'],['alfred.edu']
United States,Allegheny College,,US,['http://www.alleg.edu/'],['alleg.edu']
United States,Allentown College of Saint Francis de Sales,,US,['http://www.allencol.edu/'],['allencol.edu']
United States,Alma College,,US,['http://www.alma.edu/'],['alma.edu']
United States,Alverno College,,US,['http://www.alverno.edu/'],['alverno.edu']
United States,Ambassador University,,US,['http://www.ambassador.edu/'],['ambassador.edu']
United States,American Coastline University,,US,['http://www.amercoastuniv.edu/'],['amercoastuniv.edu']
United States,American International College,,US,['http://www.aic.edu/'],['aic.edu']
United States,American University,,US,['http://www.american.edu/'],['american.edu']
United States,Amherst College,,US,['http://www.amherst.edu/'],['amherst.edu']
United States,Andrews University,,US,['http://www.andrews.edu/'],['andrews.edu']
United States,Angelo State University,,US,['http://www.angelo.edu/'],['angelo.edu']
United States,Anne Arundel Community College,,US,['http://www.aacc.edu/'],['aacc.edu']
United States,Antioch New England,,US,['http://www.antiochne.edu/'],['antiochne.edu']
United States,Antioch University,,US,['http://www.antioch.edu/'],['antioch.edu']
United States,Antioch University - Los Angeles,,US,['http://www.antiochla.edu/'],['antiochla.edu']
United States,Antioch University - Seattle,,US,['http://www.seattleantioch.edu/'],['seattleantioch.edu']
United States,Appalachian State University,,US,['http://www.appstate.edu/'],['appstate.edu']
United States,Aquinas College,,US,['http://www.aquinas.edu/'],['aquinas.edu']
United States,Arcadia College,,US,['http://www.arcadia.edu/'],['arcadia.edu']
United States,Arizona State University,,US,['http://www.asu.edu/'],['asu.edu']
United States,Arizona Western College,,US,['http://www.azwestern.edu/'],['azwestern.edu']
United States,Arkansas State University,,US,['http://www.astate.edu/'],['astate.edu']
United States,Arkansas Tech University,,US,['http://www.atu.edu/'],['atu.edu']
United States,Armstrong State College,,US,['http://www.armstrong.edu/'],['armstrong.edu']
United States,Ashland University,,US,['http://www.ashland.edu/'],['ashland.edu']
United States,Assumption College,,US,['http://www.assumption.edu/'],['assumption.edu']
United States,Auburn University,,US,['http://www.auburn.edu/'],['auburn.edu']
United States,Auburn University at Montgomery,,US,['http://www.aum.edu/'],['aum.edu']
United States,Augsburg College,,US,['http://www.augsburg.edu/'],['augsburg.edu']
United States,Augustana College (IL),,US,['http://www.augustana.edu/'],['augustana.edu']
United States,Augustana College (SD),,US,['http://www.augie.edu/'],['augie.edu']
United States,Augusta University,,US,"['http://www.augusta.edu/', 'http://www.gru.edu/']","['augusta.edu', 'gru.edu']"
United States,Aurora University,,US,['http://www.aurora.edu/'],['aurora.edu']
United States,Austin College,,US,['http://www.austincollege.edu/'],['austincollege.edu']
United States,Austin Community College,,US,['http://www.austincc.edu/'],['austincc.edu']
United States,Austin Peay State University,,US,['http://www.apsu.edu/'],['apsu.edu']
United States,Averett College,,US,['http://www.averett.edu/'],['averett.edu']
United States,Avila College,,US,['http://www.avila.edu/'],['avila.edu']
United States,Azusa Pacific University,,US,['http://www.apu.edu/'],['apu.edu']
United States,Babson College,,US,['http://www.babson.edu/'],['babson.edu']
United States,Baker University,,US,['http://www.bakeru.edu/'],['bakeru.edu']
United States,Ball State University,,US,['http://www.bsu.edu/'],['bsu.edu']
United States,Baptist Bible College,,US,['http://www.bbc.edu/'],['bbc.edu']
United States,Bard College,,US,['http://www.bard.edu/'],['bard.edu']
United States,Barry University,,US,['http://www.barry.edu/'],['barry.edu']
United States,Bastyr University,,US,['http://www.bastyr.edu/'],['bastyr.edu']
United States,Bates College,,US,['http://www.bates.edu/'],['bates.edu']
United States,Baylor College of Medicine,,US,['http://www.bcm.edu/'],['bcm.edu']
United States,Baylor University,,US,['http://www.baylor.edu/'],['baylor.edu']
United States,Bellevue University,,US,['http://www.bellevue.edu/'],['bellevue.edu']
United States,Belmont University,,US,['http://www.belmont.edu/'],['belmont.edu']
United States,Beloit College,,US,['http://www.beloit.edu/'],['beloit.edu']
United States,Bemidji State University,,US,['http://www.bemidjistate.edu/'],['bemidjistate.edu']
United States,Benedictine College,,US,['http://www.benedictine.edu/'],['benedictine.edu']
United States,Bennington College,,US,['http://www.bennington.edu/'],['bennington.edu']
United States,Bentley College,,US,['http://www.bentley.edu/'],['bentley.edu']
United States,Berea College,,US,['http://www.berea.edu/'],['berea.edu']
United States,Berklee College of Music,,US,['http://www.berklee.edu/'],['berklee.edu']
United States,Bethany College,,US,['http://www.bethanywv.edu/'],['bethanywv.edu']
United States,Bethel College (KS),,US,['http://www.bethelks.edu/'],['bethelks.edu']
United States,Bethel University,,US,['http://www.bethel.edu/'],['bethel.edu']
United States,Biola University,,US,['http://www.biola.edu/'],['biola.edu']
United States,Birmingham-Southern College,,US,['http://www.bsc.edu/'],['bsc.edu']
United States,Black Hills State University,,US,['http://www.bhsu.edu/'],['bhsu.edu']
United States,Bloomsburg University of Pennsylvania,Pennsylvania,US,['http://www.bloomu.edu/'],['bloomu.edu']
United States,Bluffton College,,US,['http://www.bluffton.edu/'],['bluffton.edu']
United States,Bob Jones University,,US,['http://www.bju.edu/'],['bju.edu']
United States,Boise State University,,US,['http://www.boisestate.edu/'],['boisestate.edu']
United States,Boston College,,US,['http://www.bc.edu/'],['bc.edu']
United States,Boston Graduate School of Psychoanalysis,,US,['http://www.bgsp.edu/'],['bgsp.edu']
United States,Boston University,,US,['http://www.bu.edu/'],['bu.edu']
United States,Bowdoin College,,US,['http://www.bowdoin.edu/'],['bowdoin.edu']
United States,Bowie State University,,US,['http://www.bowiestate.edu/'],['bowiestate.edu']
United States,Bowling Green State University,,US,['http://www.bgsu.edu/'],['bgsu.edu']
United States,Bradley University,,US,['http://www.bradley.edu/'],['bradley.edu']
United States,Brandeis University,,US,['http://www.brandeis.edu/'],['brandeis.edu']
United States,Brenau University,,US,['http://www.brenau.edu/'],['brenau.edu']
United States,Briar Cliff College,,US,['http://www.briar-cliff.edu/'],['briar-cliff.edu']
United States,Bridgewater College,,US,['http://www.bridgewater.edu/'],['bridgewater.edu']
United States,Brigham Young University,,US,['http://www.byu.edu/'],['byu.edu']
United States,Brigham Young University - Idaho,,US,['http://www.byui.edu/'],['byui.edu']
United States,Brigham Young University Hawaii,,US,['http://www.byuh.edu/'],['byuh.edu']
United States,Broward College,,US,['http://www.broward.edu/'],['broward.edu']
United States,Brown University,,US,['http://www.brown.edu/'],['brown.edu']
United States,Bryant College,,US,['http://www.bryant.edu/'],['bryant.edu']
United States,Bryn Mawr College,,US,['http://www.brynmawr.edu/college'],['brynmawr.edu']
United States,Bucknell University,,US,['http://www.bucknell.edu/'],['bucknell.edu']
United States,Buena Vista University,,US,['http://www.bvu.edu/'],['bvu.edu']
United States,Butler University,,US,['http://www.butler.edu/'],['butler.edu']
United States,California Coast University,,US,['http://www.calcoast.edu/'],['calcoast.edu']
United States,California Institute of Technology,,US,['http://www.caltech.edu/'],['caltech.edu']
United States,California Lutheran University,,US,['http://www.callutheran.edu/'],['callutheran.edu']
United States,California Maritime Academy,,US,['http://www.csum.edu/'],['csum.edu']
United States,California National University,,US,['http://www.cnuas.edu/'],['cnuas.edu']
United States,"California Polytechnic State University, San Luis Obispo",,US,['http://www.calpoly.edu/'],['calpoly.edu']
United States,"California State University, Bakersfield",,US,['http://www.csub.edu/'],"['csub.edu', 'csubak.edu']"
United States,"California State University, Chico",,US,['http://www.csuchico.edu/'],['csuchico.edu']
United States,"California State University, Dominguez Hills",,US,['http://www.csudh.edu/'],['csudh.edu']
United States,"California State University, Fresno",,US,"['http://www.csufresno.edu/', 'http://www.fresnostate.edu/']","['csufresno.edu', 'fresnostate.edu']"
United States,"California State University, Fullerton",,US,['http://www.fullerton.edu/'],['fullerton.edu']
United States,"California State University, Hayward",,US,['http://www.csuhayward.edu/'],['csuhayward.edu']
United States,"California State University, Long Beach",,US,['http://www.csulb.edu/'],['csulb.edu']
United States,"California State University, Los Angeles",,US,['http://www.calstatela.edu/'],['calstatela.edu']
United States,"California State University, Monterey Bay",,US,['http://www.csumb.edu/'],['csumb.edu']
United States,"California State University, Northridge",,US,['http://www.csun.edu/'],['csun.edu']
United States,"California State University, Sacramento",,US,['http://www.csus.edu/'],['csus.edu']
United States,"California State University, San Bernardino",,US,['http://www.csusb.edu/'],['csusb.edu']
United States,"California State University, San Marcos",,US,['http://www.csusm.edu/'],['csusm.edu']
United States,"California State University, Stanislaus",,US,['http://www.csustan.edu/'],['csustan.edu']
United States,California State University System,,US,['http://www.calstate.edu/'],['calstate.edu']
United States,California University of Pennsylvania,Pennsylvania,US,['http://www.cup.edu/'],['cup.edu']
United States,Calvin College,,US,['http://www.calvin.edu/'],['calvin.edu']
United States,Cameron University,,US,['http://www.cameron.edu/'],['cameron.edu']
United States,Campbellsville College,,US,['http://www.campbellsville.edu/'],['campbellsville.edu']
United States,Campbell University,,US,['http://www.campbell.edu/'],['campbell.edu']
United States,Canisius College,,US,['http://www.canisius.edu/'],['canisius.edu']
United States,Capella University,,US,"['http://www.capella.edu/', 'http://www.capellauniversity.edu/']","['capella.edu', 'capellauniversity.edu']"
United States,Capitol Technology University,,US,['http://www.captechu.edu/'],['captechu.edu']
United States,Carleton College,,US,['http://www.carleton.edu/'],['carleton.edu']
United States,Carlow College,,US,['http://www.carlow.edu/'],['carlow.edu']
United States,Carnegie Mellon University,,US,['http://www.cmu.edu/'],['cmu.edu']
United States,Carroll College,,US,['http://www.carroll.edu/'],['carroll.edu']
United States,Carroll University,,US,['http://www.carrollu.edu/'],['carrollu.edu']
United States,Carson-Newman College,,US,['http://www.cn.edu/'],['cn.edu']
United States,Carthage College,,US,['http://www.carthage.edu/'],['carthage.edu']
United States,Case Western Reserve University,,US,['http://www.case.edu/'],['case.edu']
United States,Castleton State University,,US,['http://www.castleton.edu/'],['castleton.edu']
United States,Catholic University of America,,US,['http://www.cua.edu/'],['cua.edu']
United States,Cedarville College,,US,['http://www.cedarville.edu/'],['cedarville.edu']
United States,Centenary College of Louisiana,,US,['http://www.centenary.edu/'],['centenary.edu']
United States,Central College,,US,['http://www.central.edu/'],['central.edu']
United States,Central Connecticut State University,,US,['http://www.ccsu.edu/'],['ccsu.edu']
United States,Central Methodist College,,US,['http://www.cmc.edu/'],['cmc.edu']
United States,Central Michigan University,,US,['http://www.cmich.edu/'],['cmich.edu']
United States,Central Washington University,,US,['http://www.cwu.edu/'],['cwu.edu']
United States,Centre College,,US,['http://www.centre.edu/'],['centre.edu']
United States,Chadron State College,,US,['http://www.csc.edu/'],['csc.edu']
United States,Champlain College,,US,['http://www.champlain.edu/'],['champlain.edu']
United States,Chapman University,,US,['http://www.chapman.edu/'],['chapman.edu']
United States,Chatham College,,US,['http://www.chatham.edu/'],['chatham.edu']
United States,Chesapeake College,,US,['http://www.chesapeake.edu/'],['chesapeake.edu']
United States,Cheyney University,,US,['http://www.cheyney.edu/'],['cheyney.edu']
United States,Chicago School of Professional Psychology,,US,['http://www.csopp.edu/'],['csopp.edu']
United States,Christian Brothers University,,US,['http://www.cbu.edu/'],['cbu.edu']
United States,Christian Theological Seminary,,US,['http://www.cts.edu/'],['cts.edu']
United States,Christopher Newport University,,US,['http://www.cnu.edu/'],['cnu.edu']
United States,City University,,US,['http://www.cityu.edu/'],['cityu.edu']
United States,City University of New York,,US,['http://www.cuny.edu/'],['cuny.edu']
United States,Claremont Graduate School,,US,['http://www.cgs.edu/'],['cgs.edu']
United States,Claremont McKenna College,,US,['http://www.cmc.edu/'],['claremontmckenna.edu']
United States,Clarion University of Pennsylvania,Pennsylvania,US,['http://www.clarion.edu/'],['clarion.edu']
United States,Clarke College,,US,['http://www.clarke.edu/'],['clarke.edu']
United States,Clarkson University,,US,['http://www.clarkson.edu/'],['clarkson.edu']
United States,Clark University,,US,['http://www.clarku.edu/'],['clarku.edu']
United States,Clayton State College,,US,['http://www.clayton.edu/'],['clayton.edu']
United States,Clemson University,,US,['http://www.clemson.edu/'],['clemson.edu']
United States,Cleveland State University,,US,['http://www.csuohio.edu/'],['csuohio.edu']
United States,Clinch Valley College,,US,['http://www.clinch.edu/'],['clinch.edu']
United States,Coastal Carolina University,,US,['http://www.coastal.edu/'],['coastal.edu']
United States,Coast Colleges,,US,['http://www.cccd.edu/'],['cccd.edu']
United States,Coe College,,US,['http://www.coe.edu/'],['coe.edu']
United States,Coker College,,US,['http://www.coker.edu/'],['coker.edu']
United States,Colby College,,US,['http://www.colby.edu/'],['colby.edu']
United States,Colgate University,,US,['http://www.colgate.edu/'],['colgate.edu']
United States,College of Charleston,,US,['http://www.cofc.edu/'],['cofc.edu']
United States,College of Eastern Utah,,US,['http://www.ceu.edu/'],['ceu.edu']
United States,College of New Rochelle,,US,['http://www.cnr.edu/'],['cnr.edu']
United States,College of Saint Benedict,,US,['http://www.csbsju.edu/'],['csbsju.edu']
United States,College of Saint Catherine,,US,['http://www.stkate.edu/'],['stkate.edu']
United States,College of Saint Rose,,US,['http://www.strose.edu/'],['strose.edu']
United States,College of St. Francis,,US,['http://www.stfrancis.edu/'],['stfrancis.edu']
United States,College of St. Scholastica,,US,['http://www.css.edu/'],['css.edu']
United States,College of the Atlantic,,US,['http://www.coa.edu/'],['coa.edu']
United States,College of the Holy Cross,,US,['http://www.holycross.edu/'],['holycross.edu']
United States,College of William and Mary,,US,['http://www.wm.edu/'],['wm.edu']
United States,College of Wooster,,US,['http://www.wooster.edu/'],['wooster.edu']
United States,Colorado Christian University,,US,['http://www.ccu.edu/'],['ccu.edu']
United States,Colorado College,,US,['http://www.coloradocollege.edu/'],['coloradocollege.edu']
United States,Colorado Mesa University,,US,['http://www.coloradomesa.edu/'],['coloradomesa.edu']
United States,Colorado School of Mines,,US,['http://www.mines.edu/'],['mines.edu']
United States,Colorado State University,,US,['http://www.colostate.edu/'],['colostate.edu']
United States,Colorado Technical University,,US,"['http://www.coloradotech.edu/', 'http://www.ctuonline.edu/']","['coloradotech.edu', 'ctuonline.edu']"
United States,University of Colorado Anschutz Medical Campus,,US,['https://www.cuanschutz.edu/'],['cuanschutz.edu']
