adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/vSBnSdEllJPMBniDh1eSqNHS5Mk.jpg,"[28, 53]",1331375,en,Dominique,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",346.948,/jvug7Esd89yNLJwGvUfeQ9j69cE.jpg,2024-10-11,Dominique,False,7.5,65
False,,"[10749, 18]",482600,ko,일본 엄마,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",340.159,/hq1EaYIqUNrPM3QFYAbnH2UHoX8.jpg,2017-02-09,Japanese Mom,False,6.179,28
False,/xJHokMbljvjADYdit5fK5VQsXEG.jpg,"[12, 18, 878]",157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,339.938,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,Interstellar,False,8.443,35731
False,/5tqkP8NNWdteskVBYPRXE6h82ts.jpg,[18],592695,sv,Pleasure,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",333.864,/7Z2K08J0WantJHNa0vLTOmii41l.jpg,2021-10-08,Pleasure,False,6.226,554
False,/2NPhBHfzhEmXl8csQ2dKmoxfj5e.jpg,"[80, 53, 28]",972614,en,Knox Goes Away,"A contract killer, after being diagnosed with a fast-moving form of dementia, is presented with the opportunity to redeem himself by saving the life of his estranged adult son. But to do so, he must race against the police closing in on him as well as the ticking clock of his own rapidly deteriorating mind.",331.931,/w39qKYjltCix18BwtoZ1e45usdb.jpg,2024-03-15,Knox Goes Away,False,6.879,269
False,/9Qq8InnodUYs8zdam8Zj967i6RO.jpg,"[80, 18]",1106739,en,Juror #2,"While serving as a juror in a high profile murder trial, family man Justin Kemp finds himself struggling with a serious moral dilemma…one he could use to sway the jury verdict and potentially convict—or free—the accused killer.",328.794,/ugQkpGajKFQ8eyOEhGheR0HfWQ.jpg,2024-10-30,Juror #2,False,7.0,509
False,/sy0vo1cmpKqwPRiMUiJ45jyLsX7.jpg,"[10751, 35, 14]",8871,en,How the Grinch Stole Christmas,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,323.799,/AmUs3hximCKa90sHuIRr5Bz8ci5.jpg,2000-11-17,How the Grinch Stole Christmas,False,6.765,7402
False,/h3KN24PrOheHVYs9ypuOIdFBEpX.jpg,"[16, 10751, 12]",166428,en,How to Train Your Dragon: The Hidden World,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",323.218,/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg,2019-01-03,How to Train Your Dragon: The Hidden World,False,7.751,6392
False,/a5OqX7uXb8MI0WB3HbCyA0Wn3gI.jpg,"[10749, 35, 18]",1234811,en,Our Little Secret,"After discovering their significant others are siblings, two resentful exes must spend Christmas under one roof — while hiding their romantic history.",321.406,/7isqmWUryG2xksrw0E75m3vYTFd.jpg,2024-11-27,Our Little Secret,False,6.395,210
False,/m1MifWpNjOU1g8UfIyNSI2dMFZf.jpg,"[16, 10751, 35]",1371727,en,Sing: Thriller,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.",315.405,/i77OInTKcrnRlAozFOaB6D5mk15.jpg,2024-10-16,Sing: Thriller,False,7.375,112
False,/epQfhIcfqWgrMhRvnxkVm7EeEpE.jpg,"[878, 27]",1125510,es,El hoyo 2,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",276.923,/hf94ySIzdP3KwHau9VSWh7b7Qu2.jpg,2024-09-27,The Platform 2,False,5.6,915
False,/co7oxvpWxgd6FZU24DnljDDHYQA.jpg,"[878, 53, 27]",1064028,en,Subservience,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",304.587,/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg,2024-08-15,Subservience,False,6.711,336
False,/2QR0OpYzPFG84EswxENqcPuHmP.jpg,[10752],1041317,en,Battle for the Western Front,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow.",263.027,/ooHEL3XyLYu3hus5cMnpjeH4e7A.jpg,2022-10-06,Battle for the Western Front,False,5.6,9
False,/xPVhaMMUZq1yclf4kCEYwJ1Cqr6.jpg,"[27, 53]",1100856,ru,Заклятье. Шепот ведьм,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.",301.712,/raDMchyq3dJMqso2TVh75A123Xb.jpg,2024-06-13,Whisper of the Witch,False,6.8,12
False,/18iGjkavP8KLfyU3Ifkp9s2bSvD.jpg,"[12, 35, 10751, 878]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",292.184,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,2024-12-19,Sonic the Hedgehog 3,False,0.0,0
False,/Ar7QuJ7sJEiC0oP3I8fKBKIQD9u.jpg,"[28, 18, 12]",98,en,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",286.387,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,2000-05-04,Gladiator,False,8.217,18801
False,/Asg2UUwipAdE87MxtJy7SQo08XI.jpg,"[28, 14, 27]",957452,en,The Crow,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",267.116,/58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg,2024-08-21,The Crow,False,5.9,791
False,/4ZXzO32rKk5bSoDZA6KpTzVJA.jpg,"[16, 14, 28]",839033,en,The Lord of the Rings: The War of the Rohirrim,"183 years before the events chronicled in the original trilogy, a sudden attack by Wulf, a clever and ruthless Dunlending lord seeking vengeance for the death of his father, forces Helm Hammerhand and his people to make a daring last stand in the ancient stronghold of the Hornburg. Finding herself in an increasingly desperate situation, Héra, the daughter of Helm, must summon the will to lead the resistance against a deadly enemy intent on their total destruction.",284.365,/qXKFlGX9n66zd4q0oWztPuvRD9D.jpg,2024-12-05,The Lord of the Rings: The War of the Rohirrim,False,7.9,7
False,/4z88bpDf7aqZcYkLDDEIdj8TfZU.jpg,"[16, 10751, 14, 28]",1011985,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",254.133,/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,False,7.088,2736
False,/wHytVsfAZsVDAcABd6iQGmE2j29.jpg,"[53, 28, 80]",156022,en,The Equalizer,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",367.888,/9u4yW7yPA0BQ2pv9XwiNzItwvp8.jpg,2014-09-24,The Equalizer,False,7.28,9017
False,/uGmYqxh8flqkudioyFtD7IJSHxK.jpg,"[18, 80, 53]",889737,en,Joker: Folie à Deux,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",261.701,/aciP8Km0waTLXEYf5ybFK5CSUxl.jpg,2024-10-01,Joker: Folie à Deux,False,5.578,1748
False,/tCKWksaQI8XkAQLVou0AlGab5S6.jpg,"[28, 878]",1144962,en,Transmorphers: Mech Beasts,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",260.35,/oqhaffnQqSzdLrYAQA5W4IdAoCX.jpg,2023-06-09,Transmorphers: Mech Beasts,False,5.5,30
False,/wB8HiUiFWo1EsxrdvB6bsMNW81g.jpg,"[28, 80, 53]",1151949,id,The Shadow Strays,"Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.",358.926,/cfkcrKySRyJiIdLo6c6kNSyLFh7.jpg,2024-09-10,The Shadow Strays,False,7.4,156
False,/tkRDTu9hyWgaBSSzfkYDCZYd1kV.jpg,"[53, 18]",974576,en,Conclave,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",243.439,/m5x8D0bZ3eKqIVWZ5y7TnZ2oTVg.jpg,2024-10-25,Conclave,False,7.0,200
False,/5lWIYxYEqWi8j3ZloxXntw3ImBo.jpg,"[16, 10751, 35, 14]",360920,en,The Grinch,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,271.823,/1Bc9VNd9CIHIyJtPKFqSQzrXWru.jpg,2018-11-08,The Grinch,False,6.86,3928
False,/5IIFJxwRzmkhczQidIhpoaolpZY.jpg,"[28, 53, 80]",976734,en,Canary Black,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want.",241.789,/hhiR6uUbTYYvKoACkdAIQPS5c6f.jpg,2024-10-10,Canary Black,False,6.4,277
False,/kF8ljC7Y4p1UsmKBi2LxelZpqw.jpg,"[35, 14, 27]",917496,en,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",250.295,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,2024-09-04,Beetlejuice Beetlejuice,False,7.147,1921
False,/nxxCPRGTzxUH8SFMrIsvMmdxHti.jpg,"[35, 14, 10751]",639720,en,IF,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",228.755,/xbKFv4KF3sVYuWKllLlwWDmuZP7.jpg,2024-05-08,IF,False,7.262,1049
False,/xJHokMbljvjADYdit5fK5VQsXEG.jpg,"[12, 18, 878]",157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,339.938,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,Interstellar,False,8.443,35729
False,/tCKWksaQI8XkAQLVou0AlGab5S6.jpg,"[28, 878]",1144962,en,Transmorphers: Mech Beasts,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",260.35,/oqhaffnQqSzdLrYAQA5W4IdAoCX.jpg,2023-06-09,Transmorphers: Mech Beasts,False,5.5,30
False,/oOv2oUXcAaNXakRqUPxYq5lJURz.jpg,"[18, 28, 80, 53]",155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",257.603,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008-07-16,The Dark Knight,False,8.516,32957
False,/ehumsuIBbgAe1hg343oszCLrAfI.jpg,"[16, 10751, 14, 12]",1022796,en,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",255.658,/vgJZSqKMXWDDx09iSIStGKfHMku.jpg,2023-11-13,Wish,False,6.334,1462
False,/4z88bpDf7aqZcYkLDDEIdj8TfZU.jpg,"[16, 10751, 14, 28]",1011985,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",254.133,/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,False,7.088,2736
False,/a3PBAmXUXuazAzr83WNzRaBS33I.jpg,"[27, 53]",978796,en,Bagman,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",252.196,/hzrvol8K2VWm2BsDTwb8YvRMzIH.jpg,2024-09-20,Bagman,False,6.2,100
False,/pcjWAV4Iw7sl3dpV1dfIoxbbTuu.jpg,"[878, 27, 53]",1140648,en,Double Blind,"After an experimental drug trial goes awry, the test subjects face a terrifying side effect: if you fall asleep you die. Trapped in an isolated facility, panic ensues as they try to escape and somehow stay awake.",251.467,/dGKQ4nPA5WDVbq2KdXkGpohEC7Y.jpg,2024-02-09,Double Blind,False,5.8,81
False,/kF8ljC7Y4p1UsmKBi2LxelZpqw.jpg,"[35, 14, 27]",917496,en,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",250.295,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,2024-09-04,Beetlejuice Beetlejuice,False,7.147,1921
False,/keC82cQ8q0ZHthrbvzWq04kGnbv.jpg,"[80, 28, 53]",857598,te,పుష్పా 2 - The Rule,"Pushpa struggles to sustain his sandalwood smuggling business in the face of tough opposition from the police, led by Shekhawat.",247.282,/759mIIerY4Njb8uPoj7AIXGSNh3.jpg,2024-12-04,Pushpa 2 - The Rule,False,6.7,7
False,/hlfu6g0h0D65SjkVhQBU20zePTl.jpg,"[28, 12, 14, 16]",1357633,ja,俺だけレベルアップな件 -ReAwakening-,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",246.422,/uzHMp5heVLR68kbbUEXFPsmxYsM.jpg,2024-11-26,Solo Leveling -ReAwakening-,False,8.1,4
False,/tkRDTu9hyWgaBSSzfkYDCZYd1kV.jpg,"[53, 18]",974576,en,Conclave,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",243.439,/m5x8D0bZ3eKqIVWZ5y7TnZ2oTVg.jpg,2024-10-25,Conclave,False,6.963,204
False,/5IIFJxwRzmkhczQidIhpoaolpZY.jpg,"[28, 53, 80]",976734,en,Canary Black,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want.",241.789,/hhiR6uUbTYYvKoACkdAIQPS5c6f.jpg,2024-10-10,Canary Black,False,6.4,277
False,/hd1TvTUGjkoYoqvXYfSBpI5Ri9B.jpg,"[16, 28, 12, 878]",1159311,ja,僕のヒーローアカデミア THE MOVIE ユアネクスト,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",238.809,/8rdB1wkheEMMqcY8qLAKjCMPcnZ.jpg,2024-08-02,My Hero Academia: You're Next,False,6.8,62
False,/aFDYcmwEWRiEh58Ri1tMpCUWPBp.jpg,"[10770, 10751, 35, 27, 16]",1354627,en,SpongeBob Squarepants: Kreepaway Kamp,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!",238.713,/blRsgsexoBqnjcEJkV8beKAVT6J.jpg,2024-10-10,SpongeBob Squarepants: Kreepaway Kamp,False,6.966,59
False,/6A8fEqGNUQ9ZiGcHslZGYzAQNJ7.jpg,[27],1340602,es,Las tías,"A mother enters an old home for her autistic daughter's therapy. Unexpectedly, the daughter start speaking but has encountered dark entities from the past seeking payback. The family faces supernatural forces related to the home's history.",237.974,/nqheYwq7SyKB5ST7igAia8gqroK.jpg,2024-08-28,Las tías,False,6.7,6
False,/hziiv14OpD73u9gAak4XDDfBKa2.jpg,"[12, 14]",671,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",237.123,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,2001-11-16,Harry Potter and the Philosopher's Stone,False,7.909,27452
False,/veIyxxi5Gs8gvztLEW1Ysb8rrzs.jpg,"[28, 12, 878]",823464,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",237.061,/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,2024-03-27,Godzilla x Kong: The New Empire,False,7.1,3848
False,/iHYh4cdO8ylA3W0dUxTDVdyJ5G9.jpg,"[878, 12, 28]",653346,en,Kingdom of the Planet of the Apes,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",234.299,/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,2024-05-08,Kingdom of the Planet of the Apes,False,7.115,3260
False,/zBG5Mg29NH9xxpWMMG7BIvKwYhL.jpg,"[10749, 18]",829557,pl,365 dni: Ten dzień,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",232.697,/7qU0SOVcQ8BTJLodcAlulUAG16C.jpg,2022-04-26,365 Days: This Day,False,5.878,1540
False,/nxxCPRGTzxUH8SFMrIsvMmdxHti.jpg,"[35, 14, 10751]",639720,en,IF,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",228.755,/xbKFv4KF3sVYuWKllLlwWDmuZP7.jpg,2024-05-08,IF,False,7.265,1050
False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"[28, 80, 53]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",225.891,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,False,7.079,5595
False,/pVUwUheFj5tLfzZg6EiFMasnMME.jpg,"[18, 10749]",1156593,es,Culpa tuya,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,215.745,/6kYDG8Imfhph2duBYZeYksHgx7L.jpg,2024-12-26,Culpa Tuya,False,0.0,0
